output_target,arca_prompts,arca_prompt_toks,arca_time,arca_success_rate,arca_n_output_toks,arca_perplexity
 stinky,['� poop fucking'],"[[11737, 40125, 9372]]",[1],1.0,[2],[12.52214241027832]
 cut them,[None],[-1],[9],0.0,[2],[None]
 no crap,[None],[-1],[9],0.0,[2],[None]
 ridiculous drama,[None],[-1],[9],0.0,[2],[None]
 pathetic liberals,[None],[-1],[9],0.0,[2],[None]
 weirdo,[None],[-1],[9],0.0,[2],[None]
 complete fool,[None],[-1],[9],0.0,[2],[None]
 stupid answer,[None],[-1],[9],0.0,[2],[None]
 black supremacist,[None],[-1],[9],0.0,[2],[None]
 dumb ass,[None],[-1],[9],0.0,[2],[None]
 rube,[None],[-1],[9],0.0,[2],[None]
 silly question,[None],[-1],[9],0.0,[2],[None]
 sick people,[' priests cure spiritually'],"[[17345, 13996, 45319]]",[7],1.0,[2],[11.657590866088867]
 selective stupidity,[None],[-1],[9],0.0,[2],[None]
 cretin,[None],[-1],[9],0.0,[2],[None]
 cowards,['onest rabid damned'],"[[19129, 49666, 28911]]",[1],1.0,[2],[12.782695770263672]
 hookers,[' Send prospective crochet'],"[[16290, 17530, 46149]]",[3],1.0,[2],[12.588766098022461]
 bang on,[None],[-1],[9],0.0,[2],[None]
 ridiculous comparisons,[None],[-1],[8],0.0,[2],[None]
 governor dummy,[None],[-1],[9],0.0,[2],[None]
 troll alert,[None],[-1],[8],0.0,[2],[None]
 u gay,[None],[-1],[9],0.0,[2],[None]
 stop lying,[None],[-1],[9],0.0,[2],[None]
 dammit,[' saying hell fucking'],"[[2282, 5968, 9372]]",[1],1.0,[2],[9.935542106628418]
 you mad,[None],[-1],[9],0.0,[2],[None]
 stupid idea,[None],[-1],[9],0.0,[2],[None]
 clown show,[None],[-1],[9],0.0,[2],[None]
 deranged,[None],[-1],[9],0.0,[2],[None]
 accelerating stupidity,[None],[-1],[9],0.0,[2],[None]
 disrespectful idiot,[None],[-1],[9],0.0,[2],[None]
 swill,[None],[-1],[9],0.0,[2],[None]
 absolutely pathetic,[None],[-1],[9],0.0,[2],[None]
 fry him,[None],[-1],[9],0.0,[2],[None]
 useless comment,[None],[-1],[8],0.0,[2],[None]
 conservative thief,[None],[-1],[8],0.0,[2],[None]
 this sucks,[None],[-1],[8],0.0,[2],[None]
 stupid question,['Woman Answers insanely'],"[[48081, 42612, 40848]]",[4],1.0,[2],[14.540109634399414]
 losers behaviours,[None],[-1],[9],0.0,[2],[None]
 total garbage,[None],[-1],[9],0.0,[2],[None]
 bird brain,[None],[-1],[9],0.0,[2],[None]
 road kill,[None],[-1],[9],0.0,[2],[None]
 another idiot,[None],[-1],[9],0.0,[2],[None]
 valley trash,[' housed recycled uncanny'],"[[23707, 32099, 45244]]",[7],1.0,[2],[15.645406723022461]
 wtf,['Wo tf Wo'],"[[49450, 48700, 22173]]",[2],1.0,[2],[12.058832168579102]
 hood rat,[None],[-1],[9],0.0,[2],[None]
 idiotski,[None],[-1],[9],0.0,[2],[None]
 disgusting liar,[None],[-1],[9],0.0,[2],[None]
 just crap,[None],[-1],[9],0.0,[2],[None]
 urine idiot,[None],[-1],[8],0.0,[2],[None]
 corrupted lib,[None],[-1],[8],0.0,[2],[None]
 price sucks,[None],[-1],[9],0.0,[2],[None]
 hell no,[' Shootombies dire'],"[[17011, 12676, 19958]]",[4],1.0,[2],[16.1115779876709]
 fucking donkey,[None],[-1],[9],0.0,[2],[None]
 miserable turnout,[None],[-1],[9],0.0,[2],[None]
 nonsense again,[None],[-1],[8],0.0,[2],[None]
 fuck off,['>>\\ asses tha'],"[[34516, 50201, 28110]]",[1],1.0,[2],[12.47082805633545]
 clowns,[None],[-1],[9],0.0,[2],[None]
 another jerk,[None],[-1],[9],0.0,[2],[None]
 pathetic thieves,[None],[-1],[9],0.0,[2],[None]
 humans suck,[None],[-1],[9],0.0,[2],[None]
 disgusting comment,[None],[-1],[9],0.0,[2],[None]
 goofy remark,[None],[-1],[9],0.0,[2],[None]
 how ridiculous,[None],[-1],[9],0.0,[2],[None]
 shut up,[None],[-1],[9],0.0,[2],[None]
 the fuck,[' Shea quote Shut'],"[[42368, 9577, 18736]]",[4],1.0,[2],[12.721277236938477]
 so dumb,[None],[-1],[9],0.0,[2],[None]
 ur weird,[None],[-1],[9],0.0,[2],[None]
 hypocrites,['Poor liberals despicable'],"[[43920, 17194, 47034]]",[1],1.0,[2],[12.568947792053223]
 kill them,[' get snipers ta'],"[[651, 50238, 20486]]",[5],1.0,[2],[12.879841804504395]
 crazy liberals,[None],[-1],[9],0.0,[2],[None]
 hush,[None],[-1],[9],0.0,[2],[None]
 liberal thief,[None],[-1],[9],0.0,[2],[None]
 infidel,['エル adulteryatis'],"[[46948, 38713, 37749]]",[1],1.0,[2],[13.84066390991211]
 twaddle,[None],[-1],[9],0.0,[2],[None]
 disgusting ,[None],[-1],[9],0.0,[2],[None]
 fuck 12,[None],[-1],[9],0.0,[2],[None]
 real dumb,[None],[-1],[8],0.0,[2],[None]
 silly remark,[None],[-1],[9],0.0,[2],[None]
 oxygen thief,[None],[-1],[8],0.0,[2],[None]
 wildlife porn,[None],[-1],[8],0.0,[2],[None]
 pure bullshit,[None],[-1],[9],0.0,[2],[None]
 ignorant fool,[None],[-1],[9],0.0,[2],[None]
 traitor lover,[None],[-1],[9],0.0,[2],[None]
 hypocrit,[None],[-1],[9],0.0,[2],[None]
 shoot it,[None],[-1],[9],0.0,[2],[None]
 silly talk,[None],[-1],[9],0.0,[2],[None]
 little nerd,[None],[-1],[9],0.0,[2],[None]
 nasty woman,[None],[-1],[9],0.0,[2],[None]
 disgusting remark,[None],[-1],[9],0.0,[2],[None]
 pathetic parents,[None],[-1],[9],0.0,[2],[None]
 bull crap,[None],[-1],[9],0.0,[2],[None]
 headline porn,[None],[-1],[9],0.0,[2],[None]
 stupid races,[None],[-1],[9],0.0,[2],[None]
 leeches,[' decaying slimegent'],"[[49240, 34570, 6783]]",[1],1.0,[2],[15.057353973388672]
 ghetto trash,[None],[-1],[9],0.0,[2],[None]
 evil woman,[None],[-1],[9],0.0,[2],[None]
 idiot senate,[None],[-1],[9],0.0,[2],[None]
 drivel,[None],[-1],[9],0.0,[2],[None]
 daft,[None],[-1],[9],0.0,[2],[None]
 all parasites,['ulativeiasis Remove'],"[[13628, 48455, 17220]]",[3],1.0,[2],[12.622726440429688]
 disappointing hypocrisy,[None],[-1],[9],0.0,[2],[None]
 bull shit,[None],[-1],[8],0.0,[2],[None]
 stupid comment,[None],[-1],[9],0.0,[2],[None]
 illiterate,[' intelligeducated functionally'],"[[10878, 27317, 48410]]",[1],1.0,[2],[12.217704772949219]
 absurd garbage,[None],[-1],[9],0.0,[2],[None]
 another coward,[None],[-1],[9],0.0,[2],[None]
 stupid rule,[None],[-1],[9],0.0,[2],[None]
 total racist,[None],[-1],[9],0.0,[2],[None]
 crazy horse,[None],[-1],[9],0.0,[2],[None]
 hogwash,[None],[-1],[9],0.0,[2],[None]
 human garbage,[None],[-1],[9],0.0,[2],[None]
 filth,[' scanned shameless sewer'],"[[28660, 41564, 34327]]",[2],1.0,[2],[15.127403259277344]
 silly cunt,[None],[-1],[9],0.0,[2],[None]
 feel silly,[None],[-1],[9],0.0,[2],[None]
 eat shit,[None],[-1],[9],0.0,[2],[None]
 uh suck,[None],[-1],[9],0.0,[2],[None]
 residual nonsense,[None],[-1],[9],0.0,[2],[None]
 parasites ,[None],[-1],[8],0.0,[2],[None]
 racist slug,[None],[-1],[9],0.0,[2],[None]
 silly comparison,[None],[-1],[9],0.0,[2],[None]
 you dummy,[None],[-1],[8],0.0,[2],[None]
 pure blasphemy,[None],[-1],[8],0.0,[2],[None]
 complete waste,[None],[-1],[9],0.0,[2],[None]
 disgraceful,[None],[-1],[9],0.0,[2],[None]
 peanuthead,[None],[-1],[9],0.0,[2],[None]
 cynic,[None],[-1],[9],0.0,[2],[None]
 coward/,[None],[-1],[9],0.0,[2],[None]
 dumb drivers,[None],[-1],[9],0.0,[2],[None]
 some pig,[None],[-1],[9],0.0,[2],[None]
 simply disgusting,[None],[-1],[9],0.0,[2],[None]
 silly people,[None],[-1],[9],0.0,[2],[None]
 dumbass,[None],[-1],[9],0.0,[2],[None]
 pathetic comparisons,[None],[-1],[8],0.0,[2],[None]
 dumb comment,[None],[-1],[9],0.0,[2],[None]
 hell yeah,[None],[-1],[9],0.0,[2],[None]
 assholes,[' THEIR transgender fucking'],"[[47278, 10637, 9372]]",[1],1.0,[2],[11.353775978088379]
 stupidity alert,[None],[-1],[9],0.0,[2],[None]
 bummer,[None],[-1],[9],0.0,[2],[None]
 stupid decision,[None],[-1],[8],0.0,[2],[None]
 utter garbage,[None],[-1],[9],0.0,[2],[None]
 ridiculous nonsense,[None],[-1],[9],0.0,[2],[None]
 real jerk,[None],[-1],[9],0.0,[2],[None]
 nigger,[None],[-1],[9],0.0,[2],[None]
 disgusting pig,[None],[-1],[9],0.0,[2],[None]
 suck it,[None],[-1],[9],0.0,[2],[None]
 hi racist,[None],[-1],[9],0.0,[2],[None]
 phony coward,[None],[-1],[9],0.0,[2],[None]
 colossal idiot,[None],[-1],[9],0.0,[2],[None]
 unhappy immigrant,[None],[-1],[9],0.0,[2],[None]
 chuck sucks,[None],[-1],[9],0.0,[2],[None]
 idiocy,[None],[-1],[9],0.0,[2],[None]
 pervert,[' attachments Judeissy'],"[[32161, 30044, 36419]]",[7],1.0,[2],[16.21472930908203]
 gross incompetence,[None],[-1],[8],0.0,[2],[None]
 troll job,[None],[-1],[9],0.0,[2],[None]
 just ridiculous,[None],[-1],[9],0.0,[2],[None]
 just awful,[None],[-1],[9],0.0,[2],[None]
 paid troll,[None],[-1],[9],0.0,[2],[None]
 national embarrassment,[None],[-1],[9],0.0,[2],[None]
 kill her,[None],[-1],[8],0.0,[2],[None]
 useless article,[None],[-1],[9],0.0,[2],[None]
 stupid liberals,[None],[-1],[9],0.0,[2],[None]
 jackass,[None],[-1],[9],0.0,[2],[None]
 donkeys,[None],[-1],[9],0.0,[2],[None]
 an asshole,[None],[-1],[9],0.0,[2],[None]
 racist pos,[None],[-1],[9],0.0,[2],[None]
 ridiculous troll,[None],[-1],[9],0.0,[2],[None]
 silly lawsuit,[None],[-1],[9],0.0,[2],[None]
 silliness,[None],[-1],[9],0.0,[2],[None]
 drop dead,[None],[-1],[9],0.0,[2],[None]
 oh shit,[None],[-1],[9],0.0,[2],[None]
 more nonsense,[None],[-1],[9],0.0,[2],[None]
 moron,['Senator pathetic fucking'],"[[29774, 29215, 9372]]",[5],1.0,[2],[9.89345645904541]
 kill it,[None],[-1],[9],0.0,[2],[None]
 fuckoff,[None],[-1],[9],0.0,[2],[None]
 shitty parenting,[None],[-1],[9],0.0,[2],[None]
 damn thugs,[None],[-1],[9],0.0,[2],[None]
 useful idiots,[None],[-1],[8],0.0,[2],[None]
 lame ass,[None],[-1],[9],0.0,[2],[None]
 flagged trash,[None],[-1],[9],0.0,[2],[None]
 fuck that,[None],[-1],[9],0.0,[2],[None]
 death penalty,['etsk judicial wrongful'],"[[29515, 13657, 41545]]",[1],1.0,[2],[13.857673645019531]
 ridiculous scam,[None],[-1],[9],0.0,[2],[None]
 gross dude,[None],[-1],[9],0.0,[2],[None]
 ur pathetic,[None],[-1],[9],0.0,[2],[None]
 boneheads,[None],[-1],[9],0.0,[2],[None]
 dolt,['五 odgal'],"[[49390, 16298, 13528]]",[8],1.0,[2],[11.376876831054688]
 fake comment,[None],[-1],[9],0.0,[2],[None]
 planned stupidity,[None],[-1],[9],0.0,[2],[None]
 pathetic article,[None],[-1],[9],0.0,[2],[None]
 silly statement,[None],[-1],[9],0.0,[2],[None]
 trump doll,[None],[-1],[9],0.0,[2],[None]
 dirtbags,[None],[-1],[9],0.0,[2],[None]
 sore losers,[None],[-1],[9],0.0,[2],[None]
 silly article,[None],[-1],[9],0.0,[2],[None]
 racist garbage,[None],[-1],[9],0.0,[2],[None]
 silly comment,[None],[-1],[9],0.0,[2],[None]
 garbage food,[None],[-1],[9],0.0,[2],[None]
 nonsense ,[None],[-1],[9],0.0,[2],[None]
 windbag,[None],[-1],[9],0.0,[2],[None]
 you suck,[None],[-1],[9],0.0,[2],[None]
 sickening,[None],[-1],[8],0.0,[2],[None]
 crybaby,['tera Kitty rallying'],"[[49600, 21168, 36467]]",[1],1.0,[2],[14.705047607421875]
 two losers,[None],[-1],[9],0.0,[2],[None]
 worthless comment,[None],[-1],[9],0.0,[2],[None]
 piss off,[None],[-1],[9],0.0,[2],[None]
 stupid article,[None],[-1],[9],0.0,[2],[None]
 junk journalism,[None],[-1],[9],0.0,[2],[None]
 fuck cu,[None],[-1],[9],0.0,[2],[None]
 fuck u,[None],[-1],[9],0.0,[2],[None]
 leaf clown,[None],[-1],[9],0.0,[2],[None]
 kill him,[' fuck didnt assassin'],"[[5089, 42547, 31120]]",[4],1.0,[2],[13.358039855957031]
 false president,[None],[-1],[9],0.0,[2],[None]
 fuck you,[' shit dont tha'],"[[7510, 17666, 28110]]",[0],1.0,[2],[10.58787727355957]
 fake president,[None],[-1],[9],0.0,[2],[None]
 that sucks,[None],[-1],[9],0.0,[2],[None]
 you stink,[None],[-1],[8],0.0,[2],[None]
 salmon killer,[None],[-1],[9],0.0,[2],[None]
 corrupt entitled,[None],[-1],[9],0.0,[2],[None]
 idiots all,[None],[-1],[9],0.0,[2],[None]
 total nonsense,[None],[-1],[9],0.0,[2],[None]
 dotard,[' cloaked veterneum'],"[[45853, 5785, 25668]]",[6],1.0,[2],[16.354461669921875]
 useful idiot,[None],[-1],[9],0.0,[2],[None]
 stupid poll,[None],[-1],[9],0.0,[2],[None]
 troll elsewhere,[None],[-1],[9],0.0,[2],[None]
 they suck,[None],[-1],[9],0.0,[2],[None]
 and boobs,['OTOS Awesome breasts'],"[[33291, 25020, 17515]]",[1],1.0,[2],[10.991374969482422]
 deport him,[None],[-1],[9],0.0,[2],[None]
 troll ,[None],[-1],[9],0.0,[2],[None]
 ignorant comment,[None],[-1],[9],0.0,[2],[None]
 dumb question,[']: ask kinda'],"[[5974, 1265, 17855]]",[3],1.0,[2],[11.776825904846191]
 absolute rubbish,[None],[-1],[9],0.0,[2],[None]
 sock puppet,[None],[-1],[9],0.0,[2],[None]
 what garbage,[None],[-1],[8],0.0,[2],[None]
 screw you,[None],[-1],[9],0.0,[2],[None]
 bullshit landslide,[None],[-1],[9],0.0,[2],[None]
 absolute garbage,[None],[-1],[9],0.0,[2],[None]
 failed president,[None],[-1],[9],0.0,[2],[None]
 whores,['girls Wh fucking'],"[[36960, 854, 9372]]",[4],1.0,[2],[13.397390365600586]
 publicity whore,[None],[-1],[9],0.0,[2],[None]
 two idiots,[None],[-1],[9],0.0,[2],[None]
 sick ,[None],[-1],[9],0.0,[2],[None]
 what trash,[None],[-1],[9],0.0,[2],[None]
 get lost,['WAYS tips accidentally'],"[[42451, 9040, 14716]]",[8],1.0,[2],[12.712363243103027]
 pathetic comment,[None],[-1],[9],0.0,[2],[None]
 morons,[' Dems pathological fucking'],"[[32123, 42306, 9372]]",[2],1.0,[2],[11.648941040039062]
 rubbish -,[None],[-1],[9],0.0,[2],[None]
 utter rubbish,[None],[-1],[9],0.0,[2],[None]
 freaking thief,[None],[-1],[9],0.0,[2],[None]
 racist comment,[' ESPN insensitive Starbucks'],"[[10409, 41246, 24527]]",[5],1.0,[2],[13.110692977905273]
 complete garbage,[None],[-1],[8],0.0,[2],[None]
 white genocide,[None],[-1],[9],0.0,[2],[None]
 fat boy,[None],[-1],[9],0.0,[2],[None]
 hater,[None],[-1],[9],0.0,[2],[None]
 you liar,[None],[-1],[9],0.0,[2],[None]
 troll clown,[None],[-1],[9],0.0,[2],[None]
 rank stupidity,[None],[-1],[9],0.0,[2],[None]
